Time,X,Y,Z,Roll,Pitch,Yaw
8703.967,2.088,-3.233,0.235,-0.0,-0.0,3.002
8704.967,1.781,-3.185,0.235,-0.0,-0.002,-3.011
8705.967,1.639,-3.301,0.235,-0.0,0.002,-2.385
8706.967,1.276,-3.643,0.235,-0.0,-0.001,-2.386
8707.967,1.237,-3.673,0.235,-0.0,-0.01,3.083
8708.967,0.741,-3.624,0.235,-0.0,0.001,3.043
8709.968,0.243,-3.573,0.235,-0.0,-0.001,3.043
8710.967,-0.254,-3.522,0.235,-0.0,0.0,3.042
8711.967,-0.752,-3.472,0.235,-0.0,0.0,3.042
8712.967,-1.25,-3.421,0.235,-0.0,0.0,3.042
8713.967,-1.75,-3.371,0.235,-0.0,0.0,3.043
8714.967,-2.246,-3.322,0.235,-0.0,0.0,3.043
8715.967,-2.507,-3.286,0.235,-0.0,-0.002,-2.879
8716.967,-2.784,-3.48,0.235,-0.0,-0.002,-2.521
8717.967,-3.191,-3.771,0.235,-0.0,0.0,-2.519
8718.967,-3.487,-3.989,0.235,0.0,0.005,-2.713
8719.967,-3.666,-3.961,0.235,-0.0,-0.009,2.89
8720.967,-4.153,-3.836,0.235,-0.0,0.004,2.89
8721.967,-4.462,-3.766,0.236,-0.0,0.008,2.612
8722.967,-4.487,-3.778,0.235,-0.0,-0.006,1.665
8723.968,-4.483,-3.292,0.235,-0.0,-0.002,1.557
8724.968,-4.476,-2.792,0.235,-0.0,0.0,1.558
8725.968,-4.484,-2.569,0.235,-0.0,0.003,1.117
8726.968,-4.496,-2.546,0.235,0.0,0.0,0.209
8727.967,-4.264,-2.604,0.235,-0.0,-0.004,-0.3
8728.967,-3.785,-2.752,0.235,-0.0,0.0,-0.298
8729.967,-3.307,-2.9,0.235,-0.0,0.0,-0.298
8730.967,-2.831,-3.045,0.235,-0.0,0.0,-0.298
8731.967,-2.353,-3.195,0.235,-0.0,0.0,-0.299
8732.967,-1.874,-3.342,0.235,-0.0,0.0,-0.299
8733.968,-1.397,-3.489,0.235,-0.0,0.0,-0.299
8734.967,-0.918,-3.637,0.235,-0.0,0.0,-0.299
8735.967,-0.774,-3.693,0.235,-0.0,-0.0,0.26
8736.967,-0.76,-3.718,0.235,0.0,-0.0,1.176
8737.967,-0.606,-3.257,0.235,-0.0,0.0,1.253
8738.967,-0.45,-2.781,0.235,0.0,0.0,1.254
8739.967,-0.295,-2.306,0.235,-0.0,0.0,1.253
8740.967,-0.244,-2.205,0.235,-0.0,0.002,1.904
8741.967,-0.45,-1.767,0.235,-0.0,-0.016,2.004
8742.967,-0.661,-1.308,0.236,-0.0,0.007,2.003
8743.968,-0.87,-0.856,0.235,-0.0,-0.003,2.003
8744.967,-1.081,-0.401,0.235,-0.0,-0.0,2.003
8745.967,-1.289,0.053,0.235,0.0,0.0,2.003
8746.968,-1.499,0.506,0.235,-0.0,0.0,2.003
8747.967,-1.711,0.96,0.235,-0.0,0.0,2.003
8748.968,-1.812,1.154,0.235,-0.0,-0.003,1.528
8749.967,-1.733,1.27,0.236,-0.0,0.013,0.826
8750.968,-1.397,1.636,0.235,-0.0,-0.002,0.825
8751.967,-1.056,2.004,0.235,-0.0,-0.002,0.825
8752.967,-0.718,2.371,0.235,-0.0,0.0,0.825
