Time,X,Y,Z,Roll,Pitch,Yaw
8702.967,2.586,-3.305,0.235,-1.57,-0.0,1.433
8703.967,2.09,-3.235,0.235,-1.571,-0.0,1.433
8704.967,1.783,-3.188,0.235,-1.569,-0.0,1.703
8705.967,1.641,-3.303,0.235,-1.571,-0.001,2.327
8706.967,1.278,-3.644,0.234,-1.572,-0.0,2.327
8707.967,1.24,-3.673,0.235,-1.565,-0.003,1.512
8708.967,0.741,-3.623,0.236,-1.568,-0.0,1.472
8709.968,0.246,-3.573,0.236,-1.567,-0.0,1.472
8710.967,-0.254,-3.525,0.235,-1.571,-0.0,1.472
8711.967,-0.752,-3.474,0.235,-1.571,-0.0,1.472
8712.967,-1.251,-3.423,0.235,-1.571,-0.0,1.472
8713.967,-1.749,-3.372,0.235,-1.571,-0.0,1.472
8714.967,-2.245,-3.322,0.235,-1.571,-0.0,1.473
8715.967,-2.506,-3.287,0.235,-1.569,-0.0,1.834
8716.967,-2.782,-3.479,0.235,-1.569,0.0,2.192
8717.967,-3.188,-3.771,0.235,-1.569,-0.0,2.193
8718.967,-3.484,-3.99,0.235,-1.575,0.0,1.999
8719.967,-3.667,-3.96,0.235,-1.56,0.001,1.32
8720.967,-4.154,-3.835,0.238,-1.566,-0.0,1.32
8721.967,-4.464,-3.766,0.236,-1.576,0.001,1.042
8722.967,-4.488,-3.777,0.235,-1.571,-0.006,0.095
8723.968,-4.483,-3.296,0.237,-1.562,-0.0,-0.012
8724.968,-4.477,-2.794,0.235,-1.569,-0.0,-0.012
8725.968,-4.486,-2.568,0.235,-1.573,-0.0,-0.45
8726.968,-4.497,-2.545,0.235,-1.572,-0.001,-1.358
8727.967,-4.266,-2.604,0.235,-1.567,0.0,-1.867
8728.967,-3.788,-2.75,0.234,-1.573,0.0,-1.868
8729.967,-3.311,-2.899,0.235,-1.571,0.0,-1.867
8730.967,-2.834,-3.045,0.235,-1.571,0.0,-1.867
8731.967,-2.354,-3.192,0.235,-1.571,0.0,-1.867
8732.967,-1.877,-3.339,0.235,-1.571,0.0,-1.868
8733.968,-1.398,-3.487,0.235,-1.571,0.0,-1.869
8734.967,-0.92,-3.635,0.235,-1.571,0.0,-1.868
8735.967,-0.774,-3.691,0.235,-1.571,-0.0,-1.311
8736.967,-0.76,-3.719,0.235,-1.569,-0.001,-0.395
8737.967,-0.606,-3.258,0.237,-1.564,-0.0,-0.316
8738.967,-0.451,-2.781,0.235,-1.572,0.0,-0.316
8739.967,-0.296,-2.306,0.235,-1.571,-0.0,-0.317
8740.967,-0.245,-2.207,0.235,-1.573,-0.0,0.334
8741.967,-0.45,-1.767,0.229,-1.569,-0.0,0.433
8742.967,-0.66,-1.312,0.241,-1.562,-0.0,0.432
8743.968,-0.87,-0.858,0.236,-1.564,-0.0,0.433
8744.967,-1.083,-0.403,0.232,-1.576,-0.0,0.433
8745.967,-1.291,0.049,0.235,-1.57,-0.0,0.433
8746.968,-1.501,0.502,0.235,-1.571,-0.0,0.433
8747.967,-1.711,0.957,0.235,-1.571,-0.0,0.433
8748.968,-1.812,1.155,0.235,-1.568,-0.0,-0.043
8749.967,-1.732,1.269,0.236,-1.584,-0.0,-0.745
8750.968,-1.395,1.635,0.231,-1.578,-0.0,-0.746
8751.967,-1.056,2.001,0.236,-1.565,0.0,-0.746
8752.967,-0.717,2.37,0.235,-1.57,-0.0,-0.746
8753.967,-0.378,2.737,0.235,-1.571,0.0,-0.745
8754.967,-0.038,3.105,0.235,-1.571,0.0,-0.746
8755.967,0.135,3.309,0.235,-1.573,0.0,-1.129
8756.967,0.141,3.335,0.235,-1.574,-0.001,-2.038
8757.968,0.223,3.224,0.235,-1.567,0.0,-2.676
