Time,X,Y,Z,Roll,Pitch,Yaw
8704.967,1.779,-3.188,0.235,-0.0,-0.002,-3.01
8705.967,1.639,-3.301,0.235,0.0,0.003,-2.385
8706.967,1.277,-3.644,0.234,-0.0,0.001,-2.386
8707.967,1.238,-3.67,0.235,0.001,-0.012,3.084
8708.967,0.742,-3.623,0.236,-0.0,-0.005,3.043
8709.968,0.245,-3.572,0.236,-0.0,-0.004,3.043
8710.967,-0.255,-3.521,0.235,-0.0,0.0,3.042
8711.967,-0.754,-3.472,0.235,-0.0,0.0,3.043
8712.967,-1.252,-3.422,0.235,-0.0,0.0,3.042
8713.967,-1.75,-3.372,0.235,-0.0,0.0,3.042
8714.967,-2.247,-3.322,0.235,-0.0,0.0,3.043
8715.967,-2.509,-3.287,0.235,-0.0,-0.002,-2.879
8716.967,-2.785,-3.479,0.234,0.0,0.002,-2.52
8717.967,-3.191,-3.772,0.235,0.0,0.0,-2.52
8718.967,-3.486,-3.991,0.235,-0.0,0.005,-2.714
8719.967,-3.665,-3.961,0.235,-0.001,-0.007,2.89
8720.967,-4.151,-3.837,0.235,-0.0,0.002,2.89
8721.967,-4.459,-3.768,0.236,0.0,0.007,2.612
8722.967,-4.486,-3.778,0.235,0.0,-0.006,1.665
8723.968,-4.481,-3.294,0.236,-0.0,-0.006,1.557
8724.968,-4.473,-2.793,0.235,-0.0,-0.002,1.556
8725.968,-4.482,-2.57,0.235,0.0,0.003,1.118
8726.968,-4.494,-2.545,0.235,-0.0,0.0,0.21
8727.967,-4.263,-2.605,0.235,0.0,-0.004,-0.298
8728.967,-3.784,-2.753,0.235,0.0,0.0,-0.299
8729.967,-3.307,-2.9,0.235,0.0,-0.0,-0.299
8730.967,-2.83,-3.049,0.235,0.0,-0.0,-0.299
8731.967,-2.352,-3.196,0.235,0.0,-0.0,-0.3
8732.967,-1.872,-3.343,0.235,0.0,-0.0,-0.299
8733.968,-1.395,-3.49,0.235,0.0,-0.0,-0.299
8734.967,-0.919,-3.637,0.235,0.0,-0.0,-0.3
8735.967,-0.772,-3.693,0.235,-0.001,-0.004,0.257
8736.967,-0.758,-3.72,0.235,0.0,0.0,1.175
8737.967,-0.604,-3.258,0.234,-0.0,0.006,1.253
8738.967,-0.448,-2.782,0.235,0.0,-0.001,1.253
8739.967,-0.292,-2.307,0.235,-0.0,-0.0,1.253
8740.967,-0.242,-2.206,0.235,0.0,0.002,1.903
8741.967,-0.449,-1.767,0.232,0.0,0.001,2.004
8742.967,-0.658,-1.31,0.235,-0.0,-0.002,2.003
8743.968,-0.867,-0.858,0.244,-0.0,-0.017,2.003
8744.967,-1.079,-0.402,0.235,-0.0,-0.001,2.003
8745.967,-1.288,0.051,0.235,-0.0,0.0,2.003
8746.968,-1.499,0.505,0.235,-0.0,-0.0,2.003
8747.967,-1.71,0.96,0.235,-0.0,-0.0,2.002
8748.968,-1.811,1.157,0.235,-0.001,0.001,1.529
8749.967,-1.733,1.272,0.236,-0.004,0.015,0.826
8750.968,-1.396,1.636,0.234,-0.0,-0.001,0.825
8751.967,-1.057,2.002,0.239,0.0,-0.009,0.825
8752.967,-0.718,2.371,0.235,-0.0,-0.0,0.825
8753.967,-0.377,2.737,0.235,0.0,-0.0,0.825
8754.967,-0.038,3.104,0.235,0.0,-0.0,0.825
8755.967,0.137,3.31,0.235,0.001,-0.002,0.443
8756.967,0.144,3.335,0.235,0.005,-0.001,-0.467
8757.968,0.219,3.225,0.235,0.0,-0.004,-1.104
8758.967,0.444,2.776,0.235,0.0,0.003,-1.106
8759.967,0.67,2.33,0.235,0.0,0.0,-1.106
8760.967,0.893,1.883,0.235,0.0,0.0,-1.106
8761.967,1.115,1.436,0.235,0.0,0.0,-1.105
8762.967,1.243,1.153,0.235,-0.0,-0.003,-0.82
8763.967,1.236,1.147,0.235,-0.0,-0.001,-0.585
8764.967,1.404,0.912,0.236,-0.0,-0.0,-0.996
8765.967,1.678,0.492,0.235,0.0,-0.0,-0.996
8766.967,1.95,0.072,0.235,0.0,0.001,-0.996
8767.968,2.22,-0.345,0.235,0.0,0.0,-0.996
8768.967,2.398,-0.608,0.235,0.0,-0.002,-1.286
8769.967,2.401,-0.647,0.235,0.0,-0.009,-2.192
8770.967,2.104,-1.053,0.234,-0.0,0.009,-2.206
8771.967,1.808,-1.455,0.234,-0.0,-0.0,-2.206
8772.967,1.512,-1.856,0.235,0.0,-0.0,-2.205
8773.967,1.216,-2.258,0.235,0.0,0.0,-2.205
8774.967,0.918,-2.66,0.235,0.0,0.0,-2.205
8775.967,0.623,-3.064,0.235,-0.0,0.0,-2.205
8776.967,0.381,-3.399,0.235,0.0,-0.004,-2.308
8777.967,0.382,-3.43,0.235,0.0,0.002,3.042
8778.967,-0.095,-3.331,0.234,-0.001,-0.003,2.938
8779.967,-0.225,-3.282,0.235,-0.003,-0.039,2.299
8780.967,-0.386,-3.112,0.243,0.014,0.012,1.818
8781.967,-0.335,-2.833,0.23,-0.013,0.019,1.334
8782.967,-0.214,-2.349,0.239,-0.0,-0.004,1.334
8783.967,-0.254,-2.212,0.236,-0.003,-0.002,1.951
8784.967,-0.321,-1.979,0.233,-0.003,-0.017,1.437
8785.968,-0.253,-1.478,0.242,0.002,-0.001,1.433
8786.967,-0.185,-0.979,0.229,-0.0,0.014,1.432
8787.967,-0.114,-0.488,0.239,-0.0,-0.012,1.432
8788.967,-0.044,0.01,0.232,-0.0,0.006,1.432
8789.967,-0.043,0.021,0.235,-0.0,0.002,1.432
8790.967,-0.043,0.02,0.235,-0.0,-0.0,1.431
8791.967,-0.043,0.02,0.235,-0.0,-0.0,1.431
8792.967,-0.043,0.02,0.235,-0.0,-0.0,1.431
8793.967,-0.043,0.02,0.235,-0.0,-0.0,1.43
8794.967,-0.043,0.02,0.235,-0.0,-0.0,1.43
8795.968,-0.043,0.02,0.235,-0.0,-0.0,1.43
8796.968,-0.043,0.02,0.235,-0.0,-0.0,1.43
8797.967,-0.043,0.02,0.235,-0.0,-0.0,1.43
